CIU;INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE;SITOWEB;EMAIL;TELEFONO;FAX;CELLULARE;CONTATTOFACEBOOK;CONTATTOTWITTER;CONTATTOINSTAGRAM;CONTATTOALTROSOCIAL
ALB-000184-4;CHARTER;2 Stelle;VIA GIOBERTI, 30;Municipio I (ex Mun I);Albergo;3,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000185-5;CHERUBINI;1 Stella;VIA GIOVANNI AMENDOLA, 77;Municipio I (ex Mun I);Albergo;1,00;6,00;4,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000187-7;CINECITTA';3 Stelle;VIA EUDO GIULIOLI, 13;Municipio VII (ex Mun X);Albergo;19,00;60,00;11,00;1,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000188-8;EUROSTARS INTERNATIONAL PALACE;4 Stelle;VIA NAZIONALE, 46;Municipio I (ex Mun I);Albergo;53,00;130,00;9,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000190-1;CITY NOVA;3 Stelle;VIA DEI DUE MACELLI, 97;Municipio I (ex Mun I);Albergo;7,00;12,00;12,00;2,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000198-9;COLONNE D'ERCOLE;1 Stella;VIA OSTIENSE, 1411;Municipio X (ex Mun XIII);Albergo;10,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000200-2;COLORS;1 Stella;VIA BOEZIO, 31;Municipio I (ex Mun XVII);Albergo;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000201-3;COLOSSEUM;3 Stelle;VIA SFORZA, 8;Municipio I (ex Mun I);Albergo;3,00;35,00;8,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000202-4;COLUMBIA;3 Stelle;VIA DEL VIMINALE, 15;Municipio I (ex Mun I);Albergo;2,00;33,00;10,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000203-5;COLUMBUS;4 Stelle;VIA DELLA CONCILIAZIONE, 33;Municipio I (ex Mun XVII);Albergo;23,00;44,00;25,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000205-7;CONCORDE;2 Stelle;VIA GIOVANNI AMENDOLA, 95;Municipio I (ex Mun I);Albergo;8,00;17,00;14,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000206-8;CROCE DI MALTA;2 Stelle;VIA BORGOGNONA, 28;Municipio I (ex Mun I);Albergo;10,00;14,00;0,00;1,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000207-9;TEMPIO DI APOLLO;2 Stelle;PIAZZA DELLA COLONNETTA, 8;Municipio XV (ex Mun XX);Albergo;1,00;13,00;2,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000209-2;DEGLI ARANCI;4 Stelle;VIA BARNABA ORIANI, 11;Municipio II (ex Mun II);Albergo;5,00;39,00;12,00;2,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000210-3;HOTEL DEGLI IMPERATORI;3 Stelle;VIA GUIDO GONELLA, 15;Municipio IV (ex Mun V);Albergo;3,00;19,00;17,00;4,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000211-4;HOTEL DEI BORGOGNONI;4 Stelle;VIA DEL BUFALO, 126;Municipio I (ex Mun I);Albergo;5,00;43,00;3,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000212-5;HOTEL DEI CONGRESSI;4 Stelle;VIALE SHAKESPEARE, 29;Municipio IX (ex Mun XII);Albergo;14,00;89,00;1,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000215-8;DEI MELLINI;4 Stelle;VIA MUZIO CLEMENTI, 81;Municipio I (ex Mun XVII);Albergo;4,00;58,00;14,00;4,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000219-3;DELLA TORRE ARGENTINA;3 Stelle;CORSO VITTORIO EMANUELE II, 102;Municipio I (ex Mun I);Albergo;10,00;42,00;5,00;2,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000220-4;DELLE MUSE;3 Stelle;VIA TOMMASO SALVINI, 18;Municipio II (ex Mun II);Albergo;12,00;32,00;10,00;4,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000223-7;DELLE REGIONI;3 Stelle;VIA ZUCCHELLI, 1;Municipio I (ex Mun I);Albergo;1,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000224-8;DELLE ROSE;1 Stella;VIA PRINCIPE AMEDEO, 62;Municipio I (ex Mun I);Albergo;2,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000231-6;AL SANPIETRINO;2 Stelle;VIA GIOVANNI BETTOLO, 43;Municipio I (ex Mun XVII);Albergo;0,00;5,00;3,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000234-9;DIOCLEZIANO;4 Stelle;VIA GAETA, 71;Municipio I (ex Mun I);Albergo;12,00;22,00;1,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000235-1;DI RIENZO;1 Stella;VIA PRINCIPE AMEDEO, 79;Municipio I (ex Mun I);Albergo;3,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000237-3;DOGE;2 Stelle;VIA DEI DUE MACELLI, 106;Municipio I (ex Mun I);Albergo;1,00;9,00;2,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000240-6;DOMUS AVENTINA;3 Stelle;VIA DI S. PRISCA, 11;Municipio I (ex Mun I);Albergo;4,00;16,00;6,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000244-1;DONATELLO;3 Stelle;VIA DI PORTA MAGGIORE, 83;Municipio I (ex Mun I);Albergo;6,00;26,00;7,00;1,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000245-2;DORIA;3 Stelle;VIA MERULANA, 4;Municipio I (ex Mun I);Albergo;5,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000252-9;EDERA;3 Stelle;VIA ANGELO POLIZIANO, 75;Municipio I (ex Mun I);Albergo;25,00;20,00;6,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000254-2;ELISEO;4 Stelle;VIA DI PORTA PINCIANA, 30;Municipio I (ex Mun I);Albergo;17,00;35,00;4,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000256-4;EL PATIO;1 Stella;VIA DELL'AIRONE, 8;Municipio VI (ex Mun VIII);Albergo;1,00;5,00;1,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000257-5;EMBASSY;3 Stelle;VIA ANTONIO SALANDRA, 6;Municipio I (ex Mun I);Albergo;9,00;18,00;11,00;2,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000258-6;EMMAUS;3 Stelle;VIA DELLE FORNACI, 23;Municipio XIII (ex Mun XVIII);Albergo;3,00;6,00;16,00;2,00;1,00;0,00;0,00;0,00;;;;;;;;;
ALB-000259-7;EMONA AQUAEDUCTUS;4 Stelle;VIA STATILIA, 23;Municipio I (ex Mun I);Albergo;3,00;15,00;5,00;1,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000262-1;ENRICA;1 Stella;VIALE CASTRO PRETORIO, 25;Municipio II (ex Mun III);Albergo;1,00;6,00;1,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000268-7;ESQUILINO;2 Stelle;PIAZZA DELL'ESQUILINO, 29;Municipio I (ex Mun I);Albergo;0,00;11,00;1,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000275-5;EUROPA;3 Stelle;VIA VARESE, 26;Municipio I (ex Mun I);Albergo;14,00;28,00;3,00;1,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000278-8;EXECUTIVE;4 Stelle;VIA ANIENE, 3;Municipio II (ex Mun II);Albergo;7,00;43,00;1,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000281-2;FARNESE;2 Stelle;VIA ALESSANDRO FARNESE, 30;Municipio I (ex Mun XVII);Albergo;5,00;16,00;2,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000285-6;CONCORDIA;3 Stelle;VIA DI CAPO LE CASE, 14;Municipio I (ex Mun I);Albergo;1,00;22,00;1,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000288-9;CONSUL;3 Stelle;VIA AURELIA, 727;Municipio XIII (ex Mun XVIII);Albergo;21,00;13,00;21,00;4,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000291-3;CORALLO;2 Stelle;VIA PALESTRO, 44;Municipio I (ex Mun I);Albergo;7,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000295-7;CORTINA;3 Stelle;VIA NAZIONALE, 18;Municipio I (ex Mun I);Albergo;5,00;7,00;2,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000298-1;CRESSY;1 Stella;VIA VOLTURNO, 27;Municipio I (ex Mun I);Albergo;2,00;2,00;5,00;1,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000300-3;FERRARESE;2 Stelle;VIA PRINCIPE AMEDEO, 76;Municipio I (ex Mun I);Albergo;2,00;9,00;9,00;4,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000305-8;FIORENZA;1 Stella;VIA DEI MILLE, 64;Municipio I (ex Mun I);Albergo;1,00;9,00;2,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000899-8;PICCOLO FIORE;1 Stella;VIA NAZIONALE, 163;Municipio I (ex Mun I);Albergo;2,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000308-2;FIRENZE;2 Stelle;VIA DEI DUE MACELLI, 106;Municipio I (ex Mun I);Albergo;7,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000309-3;FIUME;4 Stelle;VIA BRESCIA, 5;Municipio II (ex Mun II);Albergo;11,00;46,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000311-5;FLAVIA;2 Stelle;VIA FLAVIA, 38;Municipio I (ex Mun I);Albergo;2,00;21,00;4,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000312-6;FLEMING;4 Stelle;PIAZZA MONTELEONE DI SPOLETO, 20;Municipio XV (ex Mun XX);Albergo;25,00;192,00;73,00;12,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000313-7;FLORIDA;2 Stelle;VIA COLA DI RIENZO, 243;Municipio I (ex Mun XVII);Albergo;5,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000315-9;FONTANA;3 Stelle;PIAZZA DI TREVI, 96;Municipio I (ex Mun I);Albergo;4,00;15,00;6,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000320-5;FORUM;4 Stelle;VIA TOR DE' CONTI, 25;Municipio I (ex Mun I);Albergo;20,00;34,00;20,00;4,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000327-3;GALLI;2 Stelle;VIA MILAZZO, 20;Municipio I (ex Mun I);Albergo;2,00;8,00;1,00;1,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000328-4;GALLIA;4 Stelle;VIA DI S. MARIA MAGGIORE, 143;Municipio I (ex Mun I);Albergo;0,00;24,00;3,00;6,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000329-5;HOTEL GARDA;3 Stelle;VIA LOMBARDIA, 30;Municipio I (ex Mun I);Albergo;4,00;13,00;8,00;1,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000332-8;GENIO;4 Stelle;VIA GIUSEPPE ZANARDELLI, 28;Municipio I (ex Mun I);Albergo;7,00;53,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000335-2;GIAMAICA;1 Stella;VIA MAGENTA, 13;Municipio I (ex Mun I);Albergo;2,00;6,00;1,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000340-7;DEL CORSO;3 Stelle;VIA DEL CORSO, 79;Municipio I (ex Mun I);Albergo;11,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000341-8;GIOBERTI;4 Stelle;VIA GIOBERTI, 20;Municipio I (ex Mun I);Albergo;0,00;71,00;10,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000344-2;GIORGINA;2 Stelle;VIA PRINCIPE AMEDEO, 67;Municipio I (ex Mun I);Albergo;5,00;16,00;6,00;5,00;4,00;0,00;0,00;0,00;;;;;;;;;
